,Unnamed: 0,Number of queens,Runtime,Cost,Heuristic_score,Depth,Effective_Branching,Nodes_Processed
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,7.5,4.357142857142857,0.01032815660749163,75.5,0.0,2.2142857142857144,1.1944149355092668,2.5
std,4.183300132670378,0.49724515809884695,0.007493778787771128,57.58972931935801,0.0,1.311403911760301,0.19513395332636446,1.8292495308606331
min,1.0,4.0,0.0027658939361572266,7.0,0.0,1.0,1.0,1.0
25%,4.25,4.0,0.0038756132125854492,40.25,0.0,1.0,1.0,1.0
50%,7.5,4.0,0.0075778961181640625,64.5,0.0,2.0,1.2599210498948732,2.0
75%,10.75,5.0,0.014077723026275633,95.25,0.0,3.0,1.3160740129524924,3.0
max,14.0,5.0,0.02470684051513672,217.0,0.0,5.0,1.6265765616977856,7.0
