,Unnamed: 0,Number of queens,Runtime,Cost,Heuristic_score,Depth,Effective_Branching,Nodes_Processed
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,7.5,4.357142857142857,77.39721414021083,52.0,0.0,2.2142857142857144,26.90506623937039,8233.214285714286
std,4.183300132670378,0.49724515809884695,286.6114426572767,60.73523878910192,0.0,1.5776599725577714,88.90349030872193,30068.490400260358
min,1.0,4.0,0.006340742111206055,1.0,0.0,1.0,1.4142135623730951,2.0
25%,4.25,4.0,0.02500534057617188,8.5,0.0,1.0,2.227002062301934,5.75
50%,7.5,4.0,0.08604693412780762,23.5,0.0,1.5,2.805913143370713,20.5
75%,10.75,5.0,0.9607008695602416,81.0,0.0,3.5,3.165745803936947,318.0
max,14.0,5.0,1073.1876454353333,217.0,0.0,5.0,335.70224902434,112696.0
