,Unnamed: 0,Number of queens,Runtime,Cost,Heuristic_score,Depth,Effective_Branching,Nodes_Processed
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,7.5,4.357142857142857,0.01676234177180699,152.85714285714286,0.0,3.642857142857143,1.165522914824012,4.285714285714286
std,4.183300132670378,0.49724515809884695,0.017708226479373576,197.78770948160053,0.0,3.1527068432634904,0.14983882993959743,4.952521835133342
min,1.0,4.0,0.002733707427978516,12.0,0.0,1.0,1.0,1.0
25%,4.25,4.0,0.003785192966461182,36.0,0.0,1.0,1.0,1.0
50%,7.5,4.0,0.008401036262512207,81.0,0.0,2.5,1.2599210498948732,2.5
75%,10.75,5.0,0.02104461193084717,195.0,0.0,6.5,1.2990362632991395,6.5
max,14.0,5.0,0.05458641052246094,744.0,0.0,10.0,1.3160740129524924,19.0
